epoch,loss,lr,time_seconds
1,0.000240,0.00005000,142.94
2,0.000272,0.00005000,133.44
3,0.000152,0.00005000,138.05
4,0.000206,0.00005000,131.53
5,0.000162,0.00005000,137.05
6,0.000112,0.00005000,127.39
7,0.000108,0.00005000,126.39
8,0.000145,0.00005000,143.02
9,0.000157,0.00005000,140.68
10,0.000151,0.00005000,137.70
11,0.000121,0.00005000,139.89
12,0.000132,0.00005000,132.91
13,0.000144,0.00005000,132.42
14,0.000110,0.00005000,138.03
15,0.000140,0.00005000,134.52
16,0.000157,0.00005000,132.98
17,0.000191,0.00005000,141.42
18,0.000121,0.00005000,135.77
19,0.000110,0.00005000,143.75
20,0.000153,0.00005000,138.82
21,0.000195,0.00005000,136.41
22,0.000125,0.00005000,152.29
23,0.000154,0.00005000,154.83
24,0.000189,0.00005000,157.77
25,0.000243,0.00005000,151.34
26,0.000197,0.00005000,153.86
27,0.000147,0.00005000,154.71
28,0.000334,0.00005000,155.20
29,0.000247,0.00005000,151.22
30,0.000330,0.00005000,152.39
31,0.000241,0.00005000,153.69
32,0.000224,0.00005000,160.92
33,0.000285,0.00005000,158.14
34,0.000356,0.00005000,156.49
35,0.000470,0.00005000,156.55
36,0.000498,0.00005000,149.84
37,0.000528,0.00005000,149.79
38,0.000851,0.00005000,154.12
39,0.000928,0.00005000,151.23
40,0.000939,0.00005000,155.64
41,0.001114,0.00005000,161.22
42,0.001347,0.00005000,161.58
43,0.001681,0.00005000,152.12
44,0.001894,0.00005000,156.10
45,0.002420,0.00005000,153.92
46,0.002665,0.00005000,159.94
47,0.003479,0.00005000,161.22
48,0.004188,0.00005000,150.64
49,0.005304,0.00005000,155.25
50,0.006864,0.00005000,155.16
51,0.008684,0.00005000,152.71
52,0.011033,0.00005000,155.60
53,0.012720,0.00005000,158.79
54,0.013137,0.00005000,158.45
55,0.013901,0.00005000,149.98
56,0.015040,0.00005000,156.08
57,0.015172,0.00005000,156.01
58,0.014098,0.00005000,145.99
59,0.014829,0.00005000,152.62
60,0.014284,0.00005000,152.05
61,0.012558,0.00005000,155.32
62,0.011581,0.00005000,152.87
63,0.009453,0.00005000,157.78
64,0.007764,0.00005000,150.64
65,0.007438,0.00005000,153.04
66,0.006931,0.00005000,154.85
67,0.006788,0.00005000,153.25
68,0.007705,0.00005000,157.94
69,0.008483,0.00005000,155.65
70,0.008587,0.00005000,154.27
71,0.009285,0.00005000,156.20
72,0.009589,0.00005000,150.40
73,0.010129,0.00005000,156.80
74,0.009679,0.00005000,155.36
75,0.010739,0.00005000,159.80
76,0.011018,0.00005000,159.27
77,0.010487,0.00005000,154.56
78,0.010934,0.00005000,157.61
79,0.010932,0.00005000,152.81
80,0.010918,0.00005000,154.93
81,0.010841,0.00005000,158.10
82,0.010563,0.00005000,154.98
83,0.010446,0.00005000,156.00
84,0.010446,0.00005000,154.85
85,0.010724,0.00005000,160.82
86,0.010188,0.00005000,158.23
87,0.010747,0.00005000,157.62
88,0.010595,0.00005000,152.38
89,0.010052,0.00005000,149.74
90,0.009336,0.00005000,155.81
91,0.009691,0.00005000,154.44
92,0.009368,0.00005000,154.18
93,0.009343,0.00005000,150.29
94,0.009058,0.00005000,155.74
95,0.008531,0.00005000,154.38
96,0.008385,0.00005000,154.94
97,0.008535,0.00005000,156.06
98,0.007880,0.00005000,150.33
99,0.007859,0.00005000,149.47
100,0.007321,0.00005000,160.56
